idx,p808_mos,mos_sig,mos_bak,mos_ovr
0,3.1588496140071323,3.207445486406738,3.644961398641364,2.7772651898451435
1,2.5885581970214844,2.8097697955560745,3.5154574180882463,2.239160599699336
2,3.328289679118565,3.310625707200618,3.770971261497341,2.941506165458241
3,2.3104117257254466,1.8058374407979811,1.4178062723888034,1.3651451193716784
4,3.3559297834123885,2.904757804264635,3.0151375609112026,2.4463800266703744
5,3.752302850995745,3.6238692561729065,4.135106663817994,3.371356424468912
6,2.7441530568259105,3.1793253238212538,3.929494754337656,2.893113518219359
7,3.620732511792864,3.4455988915496643,3.5044021105149787,2.9109355694911323
8,2.552931785583496,2.211194905888686,1.7060274576039538,1.633080719905529
9,3.417519467217581,3.6442780732159608,3.465098956454944,3.062555967708647
10,3.0641066346849715,3.617091877399471,3.1307098924217187,2.8194907506529328
11,3.265157120568412,3.390271407409453,3.794538442463161,2.959874564867358
12,2.560449770518712,3.4548816823584594,2.834573587201518,2.592308628103606
13,2.4826245307922363,2.8726247054766887,3.545108641291669,2.313043215405819
14,2.618823289871216,3.506837588581808,3.136511094980812,2.705448594911924
15,2.282485451017107,2.577860950206129,3.4294037208389008,1.9813474831330105
16,2.9166997500828336,3.621994565688919,3.0788294374767182,2.8324045008924634
17,3.535196270261492,3.209476103273303,3.3100524350957525,2.631598263176345
18,3.243956020900181,3.535627311820049,3.2365501387457,2.8777066843776424
19,3.364131041935512,3.340241796697129,3.5871084044749915,2.845740598289713
20,2.727811302457537,3.198020045851625,3.660498544215207,2.7256084504655256
21,3.686077526637486,3.5185006881872973,3.885130988477544,3.13555381588652
22,3.4818359102521623,3.496253941034268,3.414715646275726,2.8898410513928985
23,2.9604714257376537,3.259105117516309,3.7236447869619234,2.809863262378351
24,3.0117300919124057,2.6376620521610867,3.235784306554623,2.2440230238205845
25,3.080197981425694,3.575893786943172,3.4944961226405917,2.982477201289162
26,3.069406952176775,3.5637675451630493,3.0433871472144025,2.764431139191536
27,2.731856482369559,3.1854506175405417,2.6562503831319737,2.4009301598630306
28,2.625609874725342,2.9617973571162604,3.729457666015659,2.459669950126615
29,3.471210241317749,3.479715337204832,4.023776049346286,3.154374276481412
30,3.684796333312988,3.536297743693348,3.961996616122982,3.1966444541406767
31,3.0066985743386403,3.1716141156812463,3.661129850404929,2.668891878523955
32,2.7719247000558034,3.0300905979219945,3.795241385237488,2.574836880649485
33,3.2728024210248674,3.475263481077057,3.068592332095126,2.695296505930461
34,2.982800381524222,3.4748856738503453,3.425725305918241,2.8910789235804253
35,3.0213070256369456,3.4838617195715424,2.768540001569363,2.560706833315625
36,2.778928416115897,3.03322524597641,3.318544917066755,2.4427062479212047
37,3.508572816848755,3.5791241504888376,2.480253718843382,2.543499952768308
38,3.115823916026524,3.3793414585531187,3.637474274374843,2.9189595963118213
39,3.499985558646066,3.5683046581869164,3.7971745987789967,3.166592507800447
40,3.610733543123518,3.57267891508107,4.137572883461737,3.3126008117070973
41,3.127673591886248,3.530589613365145,2.997644730857495,2.733190680191043
42,3.392160040991647,3.4132080994186085,3.028309972473882,2.655522759630672
43,3.4525750364576067,3.6827811493913742,4.158642728972942,3.4391139099680497
44,3.296395403998239,3.326127200947327,3.881234853079589,2.995498499384845
45,2.568685906273978,2.9821560932151536,2.4817292823299844,2.1905929830779907
46,2.8927098342350552,3.563336338939973,3.4705048163235537,3.0089307290941245
47,3.230964115687779,3.71219783215723,3.797358363098045,3.2704563433211526
48,2.3931827545166016,2.8902895052016264,2.985078824002046,2.2057719167529526
49,3.459200484412057,3.5537678191954685,3.216659615960335,2.8694743162280867
50,3.2426255771092007,3.519720756368291,3.488349549396601,2.9218139596140245
51,2.965256316321237,3.577606993644659,3.6835497101046593,3.0601771395911785
52,2.908773728779384,2.87829756308336,3.510429643886156,2.3330567279104075
53,2.8737296717507497,2.883439464729737,3.50334057699554,2.368766820356806
54,2.96186477797372,3.035481044104156,3.7148445887292,2.5384175540538894
55,2.520969424928938,2.8120963378188244,3.612249709167075,2.2637734103259723
56,2.7410792963845387,3.1241550958562234,3.7237550181191104,2.655303041199168
57,3.990278686795916,3.608696705857163,4.068658005780712,3.336593716888324
58,3.8144071102142334,3.674297798623347,4.149804654154345,3.444928660373975
59,3.328810214996338,3.606001819945752,4.099888724430176,3.3347974722252203
60,2.3423900263650075,2.7700469448071776,3.279356407909052,2.2095396560419824
61,2.769916534423828,3.377006486173028,2.6491777304715827,2.4779527949498115
62,3.3674706050327847,3.5171884140878285,3.94966396527524,3.1784802938120067
63,3.200507129941668,3.100753686218176,2.9770005020161143,2.472580351040019
64,2.392176888205789,2.433146283972387,3.211642267747752,1.793348824795474
65,2.938347231258045,3.290193739189714,3.561051263562617,2.7240489410793174
66,3.4801877411929043,3.643422497149723,4.164204492783548,3.3847207704072164
67,3.498410788449374,3.6493364691693344,4.099101169829284,3.3475931782694106
68,2.222579002380371,2.5731038617160293,3.498752014992653,1.9461298368427689
69,2.9499962763352827,3.2864708037041765,3.770320172827599,2.805375674273304
70,3.161884567954324,3.285017989866652,3.8334025313241984,2.838524023450614
71,2.677275224165483,2.96685743283071,3.5576379620683736,2.40300501636758
72,2.655740998008034,3.066287691304041,3.3091022296934525,2.419442097416686
73,2.4827020168304443,2.6938601769161044,3.596429272188418,2.1415450550345074
74,2.461835644461892,2.691255934189582,3.5505758543707624,2.0813390869006017
75,3.0078983957117256,3.189065452842269,3.5675000091691427,2.61287537947771
