idx,p808_mos,mos_sig,mos_bak,mos_ovr
0,2.527832133429391,3.0938500575409917,3.828847189999748,2.692675103543015
1,2.8570052215031216,2.364566721144205,2.960325985726456,1.8648796432075232
2,3.370167016983032,3.355491296685285,3.530941241189673,2.8502867650634207
3,3.605617727552141,2.88809385585184,3.860995917742813,2.5820154816756675
4,2.878838096346174,2.2420599306274296,2.9535763820468337,1.7348960063128973
5,2.879142318453108,2.9362694168825443,3.582861158959225,2.476597821954144
6,2.703821182250977,3.132475722261531,3.3568197243558417,2.547402549218833
7,3.3816935334886824,3.369346510709416,3.568415491055499,2.8373664730780064
8,3.466555084500994,3.3105818127188127,2.506639429424743,2.3064016453309604
9,3.4709512506212508,3.3339528621631054,3.4996499727298107,2.792236640245141
10,3.206338269369943,3.3238805798605,3.530978811832249,2.793569581166311
11,2.88723053250994,3.159098484047965,3.615072631548408,2.7415637925091496
12,3.391901731491089,3.2213856265600955,3.669376814607188,2.788173917511736
13,3.49615444455828,3.1937179753619,3.672392009062485,2.7170987027825864
14,2.686845745359148,2.136059662961724,2.579236407686582,1.5745924261167328
15,3.441688026700701,3.2335244586531475,3.696702462729724,2.7304961828781247
16,3.682994706290109,3.410430332210051,3.925690235619604,3.0731111521165992
17,3.144031729016985,3.40527909359232,3.8632493750799393,3.0330736178202637
18,3.487322909491403,3.544287100193629,4.034928555721519,3.2458933439697497
19,2.883820635931833,3.4170206166104995,4.0512824113297246,3.152746940318262
20,3.41199254989624,3.3589755717577927,3.8015877846531376,2.975366674742442
21,2.378793614251273,2.353666464899928,2.1406924976765977,1.5556554949206531
22,2.9493908200945174,3.1905233574697998,3.941984042596618,2.887367341544428
23,3.2400759628840854,3.1764132954257005,3.37218861528549,2.6360549744086046
24,3.5106338092259,3.446773597959718,4.041740373277546,3.180368243420843
25,3.3379669870649065,3.043262312294604,3.427270414211033,2.496998356869676
26,3.564021280833653,3.5021973071861234,2.788762905767826,2.595926434559481
27,2.755974769592285,2.859868282197667,3.931127941860756,2.591789073886664
28,3.613723243985857,3.56590586399074,4.053180951504568,3.264277408362044
29,3.292501143046788,3.6523570352308528,4.116429128464128,3.381453371072067
30,3.5581530843462263,3.4011396945883803,3.804225331704091,2.997849069487554
31,3.65613637651716,3.4403931918126545,3.56071652918428,2.955053610954514
32,2.406860045024327,2.005288892997767,1.7891326337201487,1.437748874512344
33,2.987614154815674,3.522277946158017,3.643282022481373,3.013841307818051
34,2.3539274760655,2.5551274291443637,3.542468908100513,2.0065169482542684
35,3.3483998775482178,3.406672315271415,3.5502203909877514,2.8965441386675224
36,3.047933510371617,3.2002522737924517,3.911294413941974,2.8864910278159006
37,2.407881225858416,2.5345126501379824,3.495833514850284,1.9943088245012817
38,2.2336955411093578,2.456767001848386,3.187591574254202,1.831821310677519
39,2.4599599157060896,2.586314475052518,3.709730600942623,2.07113009873845
40,2.571681227002825,2.7606122887080344,3.5625647293790634,2.204048995557553
41,2.5163797991616383,2.9160622778612293,3.614478907437093,2.345918755344105
42,2.386347532272339,2.606593119605307,3.2136282818105046,1.8942770888498517
43,2.4808267865862166,2.6434779324442776,3.50480692877107,2.042021245891365
44,2.251222882952009,2.17198726939688,3.5929531488307456,1.7756244411239126
45,2.287074565887451,2.590326642408783,3.3949607663580936,1.9409849625216609
46,2.5098799637385776,2.858021954134049,3.3835194193175817,2.187520595999207
47,2.347370215824672,2.6981429236247463,3.502373604618383,2.072945666694849
48,2.439551625932966,2.7795867377007077,3.6662401610190942,2.256524576902972
49,2.3407990591866628,2.55344261053571,3.464272587747087,1.9599562806641144
50,2.295399938310896,2.627977331760391,3.428449801441961,1.991997152342913
51,3.644191707883562,3.5411283363617803,4.118679067857201,3.2728467910156085
52,2.9790192331586565,3.208909759770178,3.84700602580596,2.8165756319794326
53,2.411038500922067,2.7452120437221024,3.5739883171302163,2.1528346483827856
54,2.644336223602295,2.840799506268163,3.007381618359387,2.021759111794449
55,2.439638444355556,2.7493043553254437,3.3785122496502686,2.0943034325107943
56,2.439157554081508,2.719435672236596,3.612111169255471,2.150354692422336
57,2.393736294337681,2.735877678524019,3.565957741986448,2.1506944204886254
58,2.27838717188154,2.593336778852289,3.34290206953007,1.9156232371555408
59,2.301988499505179,2.753862397592648,3.5189241875548496,2.1184749701477026
60,3.2455828871045798,3.2795342146557,3.579838664156117,2.795942714396126
61,2.467611415045602,2.734832753247809,3.579040395852628,2.203789181696433
62,2.2536885738372803,2.466272556745319,3.4346411009755693,1.8343602043044995
63,2.575610399246216,2.8946281020157256,3.657948021818939,2.346132104580969
64,2.7357641628810336,3.040384199463733,3.7818794239532543,2.57962448200549
65,2.3109616552080428,2.642155928111062,3.4934809340888435,2.031376628387801
66,3.028061730521066,3.277895440638558,3.826047099987471,2.892342598711394
67,2.452112538473947,2.436014376139338,2.945744777724481,1.818402117959456
68,2.316397326333182,2.596195620813399,3.4805172593351883,1.9626266639429355
69,2.414825439453125,2.452112343558799,3.5821885894432244,2.018351103247828
70,3.646126849310739,3.356654084381535,3.086819736505077,2.6514544633137995
71,2.64596380506243,2.8827179440577955,3.7063011727228097,2.3696851061988085
72,2.3042960166931152,2.7253339779514127,3.562548396350387,2.1285082266630613
73,2.303056376320975,2.7341677186028805,3.463315487039842,2.1048038138250265
74,2.271542855671474,2.600266951317561,3.306452724155373,1.933100460791872
75,2.200165339878627,2.5527075674258235,3.203569115983482,1.8808155606875847
76,2.920832940510341,3.265966508686961,3.98920396628213,2.957204219148647
77,3.0524802207946777,3.228228101309461,3.797858028525361,2.774474760136304
78,3.2405036858149936,2.7049496992283766,3.4979960708866997,2.4167252750752555
79,2.185083900179182,2.438450510158846,3.0806768812269527,1.7733458532639166
80,2.414455073220389,2.744769286038216,3.607893084233799,2.164577836626886
81,2.2900133473532542,2.2658235494715284,3.06431930260963,1.739700411067295
82,2.472033841269357,2.858812635308668,3.7550661568566777,2.356177442608585
83,2.3756725447518483,2.6499098796672427,3.050906918160719,1.9139296760090672
84,2.8108199664524625,2.9272113845985217,3.589817356704164,2.348763313240384
85,2.54227876663208,2.6648341196899623,3.254409349540248,2.0003270308031134
86,2.4753459862300327,2.735421605029104,3.4697342056053424,2.0972796634079227
87,2.5423717498779297,2.853899818168967,3.6705665597167,2.312401686684772
88,3.0531355994088307,3.1074760493142604,3.9212660578009744,2.7560035120109285
89,2.236391987119402,2.643761982735697,3.040658197539474,1.8456607508553076
90,2.246068920407976,2.7259799726109963,3.601872716196329,2.126572744153057
91,2.773559740611485,3.0334248078146757,3.760643175234076,2.6486407848247477
92,2.508620262145996,2.74577088155169,3.4349659594333213,2.102570855062173
93,2.7254225185939243,3.0402759306859224,3.766457795717904,2.5647862080515926
94,2.1822753974369595,2.4953168414839424,3.272904923533527,1.8313088312746568
95,2.4290591308048795,2.7000636046002264,3.37132825027966,2.040675685755065
96,2.6876081625620523,2.6988558944670538,3.4778871479916504,2.167503241403246
97,2.930349032084147,3.2998337564754743,3.639854982344303,2.841016066115964
98,3.126317342122396,3.206022367458099,3.4414160416593007,2.664048390283769
99,2.622071186701457,3.237342019933408,3.0279737583986823,2.493098042726936
100,2.7490391731262207,2.7571487833820387,2.848899014430704,1.979654387981031
101,3.459364175796509,3.48937365787144,3.8596807445813055,3.113503190915724
102,2.5179897944132485,2.8254627863264345,3.5086845559225157,2.2506612675674216
103,3.548471689224243,3.191676581746039,3.2673969128550184,2.6314985214255624
104,3.635181506474813,3.516323791863884,3.9555967822966913,3.186260990520266
105,3.1881821155548096,3.157623963364524,3.289623493031012,2.5212185394120863
106,2.888375202814738,3.066568425174944,3.094498743434265,2.36872880562667
107,2.2852209409077964,2.7716260133539024,3.234098078472325,2.0823337189411397
108,2.3817874590555825,2.6901505291407872,3.5714552274208686,2.1521634405896104
109,2.571351925532023,2.645984387668228,2.75193143492462,1.8677732688433677
110,3.659541765848795,3.520715844332203,4.051880290281922,3.22079365870373
111,2.858887275060018,3.275102217697805,3.940054973216455,2.929180006759033
112,3.760325034459432,3.5590553926354254,4.128779047849453,3.3097072566623136
113,2.856374979019165,2.605512512725555,3.6010505324588653,2.3112625343845745
